QueryName,QuerySMILES,TargetCompoundName,TargetSMILES,Similarity
槲皮素,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,C1CCC(C1)(C(=O)N2CCN(CC2)C3=CC=C(C=C3)C(F)(F)F)NC4=CC=C(C=C4)C#N,TRPA1-IN-2,0.3686417457413057
槲皮素,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,C/C(=C\C1=CC=C(C=C1)Cl)/C(=N\O)/C,AP-18,0.2913173524579159
槲皮素,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,C[C@H]1[C@@H](C[C@H](N1S(=O)(=O)C2=CC=C(C=C2)F)C(=O)NCC3=CC(=NC=C3C(F)(F)F)C4=CN=C(N=C4)C(F)(F)F)F,GDC-0334,0.37708079016223184
槲皮素,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,C[C@H]1CC[C@]2([C@H]([C@]1(C)CCC3(CCC(OO3)[C@@H](C)C(=O)O)C)CCCC2=C)C,hTRPA1-IN-1,0.340740757177063
槲皮素,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,CC(C)C1=CC=C(C=C1)NC(=O)CN2C=NC3=C2C(=O)N(C(=O)N3C)C,HC-030031,0.3441916058751403
槲皮素,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,C1=CC(=C(C=C1I)F)C#N,2-Fluoro-4-iodobenzonitrile,0.4166913421737263
槲皮素,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,CC/C=C\C[C@@H]([C@@H](/C=C/C=C/C=C\C=C\[C@H](C/C=C\CCC(=O)O)O)O)O,Resolvin D2,0.39179472164547924
槲皮素,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,C1CC[C@@]([C@@H](C1)NC2=CC=C(C=C2)F)(C(F)(F)F)O,BAY-390,0.35106791794498615
槲皮素,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,CC1=NC2=C(C(=O)N1CC3=NC(=NO3)[C@H]4C[C@@H](OC4)C5=CC=C(C=C5)Cl)N(C=N2)C,GDC-6599,0.30023353053560187
齐墩果酸,C[C@]12CC[C@@H](C([C@@H]1CC[C@@]3([C@@H]2CC=C4[C@]3(CC[C@@]5([C@H]4CC(CC5)(C)C)C(=O)O)C)C)(C)C)O,C1CCC(C1)(C(=O)N2CCN(CC2)C3=CC=C(C=C3)C(F)(F)F)NC4=CC=C(C=C4)C#N,TRPA1-IN-2,0.36560003936174207
