QueryName,QuerySMILES,TargetCompoundName,TargetSMILES,Similarity
槲皮素,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,CC(C)CNC1=NC(=NC=C1C(=O)NCC2=CC=CC=C2)N3CCN(CC3)CC4CCCOC4,PF-4840154,0.37110399081610723
槲皮素,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,C1=CC=C(C=C1)N=NC2=CC=C(C=C2)C(=O)O,4-(Phenyldiazenyl)benzoic acid,0.3998731072427095
槲皮素,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,COCCCN(C1=NC(=CS1)C2=CC=C(C=C2)OC)C(=O)CCl,JT010,0.2863899701558909
槲皮素,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,COC1=CC(=CC(=C1O)OC)C(=O)OC,Methyl syringate,0.3822676616862335
槲皮素,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,CC(C)CN1C2=C(C=CC=C2F)/C(=C\C(=O)O)/C1=O,ASP7663,0.3035308624780729
槲皮素,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,C1=CC=C(C=C1)N=NC2=CC(=NC=C2)Cl,TRPA1 Antagonist 3,0.38922788319473045
槲皮素,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC2=CC=C(C=C2)CN=C=S)O)O)O,Moringin,0.3454657912173843
槲皮素,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,CCCCCC(=O)/C=C/C=O,(E)-4-Oxo-2-nonenal,0.4462306761944112
槲皮素,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,CC[C@H]1C[C@H]2C[C@@]3([C@H]1N(C2)CCC4=C3NC5=C4C=C(C=C5)OC)C(=O)OC,Voacangine,0.339250887285511
齐墩果酸,C[C@]12CC[C@@H](C([C@@H]1CC[C@@]3([C@@H]2CC=C4[C@]3(CC[C@@]5([C@H]4CC(CC5)(C)C)C(=O)O)C)C)(C)C)O,CC(C)CNC1=NC(=NC=C1C(=O)NCC2=CC=CC=C2)N3CCN(CC3)CC4CCCOC4,PF-4840154,0.30893315526776555
齐墩果酸,C[C@]12CC[C@@H](C([C@@H]1CC[C@@]3([C@@H]2CC=C4[C@]3(CC[C@@]5([C@H]4CC(CC5)(C)C)C(=O)O)C)C)(C)C)O,C1=CC=C(C=C1)N=NC2=CC=C(C=C2)C(=O)O,4-(Phenyldiazenyl)benzoic acid,0.46169291211225505
齐墩果酸,C[C@]12CC[C@@H](C([C@@H]1CC[C@@]3([C@@H]2CC=C4[C@]3(CC[C@@]5([C@H]4CC(CC5)(C)C)C(=O)O)C)C)(C)C)O,COCCCN(C1=NC(=CS1)C2=CC=C(C=C2)OC)C(=O)CCl,JT010,0.2276364234499951
