QueryName,QuerySMILES,TargetCompoundName,TargetSMILES,Similarity
槲皮素,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,CCNC(=O)C1CC(CCC1C(C)C)C,TRPM8 agonist WS-3,0.4315497800465812
槲皮素,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,CC1=CC=C(C=C1)OCC(=O)N(CC2=CC=CS2)C3=CC=NN3,FEMA 4809,0.24169248880519348
槲皮素,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,C1C=C(NC(=O)N1C2=CC=CC=C2O)C3=CC(=CC=C3)[N+](=O)[O-],Icilin,0.3228685552107634
槲皮素,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,C[C@@H]1CC[C@H]([C@@H](C1)C(=O)NC2=CC=C(C=C2)OC)C(C)C,Acoltremon,0.3048827920454693
槲皮素,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,CCCCCCCCCP(=O)(C(C)C)C(C)C,Cryosim-3,0.29055779061785725
槲皮素,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,C[C@@H]1CC[C@H]([C@@H](C1)C(=O)N2C3=C(C=C(C=C3)OC)N(C2=O)CCN)C(C)C,D-3263,0.3568771303176196
齐墩果酸,C[C@]12CC[C@@H](C([C@@H]1CC[C@@]3([C@@H]2CC=C4[C@]3(CC[C@@]5([C@H]4CC(CC5)(C)C)C(=O)O)C)C)(C)C)O,CCNC(=O)C1CC(CCC1C(C)C)C,TRPM8 agonist WS-3,0.42765251523649384
齐墩果酸,C[C@]12CC[C@@H](C([C@@H]1CC[C@@]3([C@@H]2CC=C4[C@]3(CC[C@@]5([C@H]4CC(CC5)(C)C)C(=O)O)C)C)(C)C)O,CC1=CC=C(C=C1)OCC(=O)N(CC2=CC=CS2)C3=CC=NN3,FEMA 4809,0.20272783268140096
齐墩果酸,C[C@]12CC[C@@H](C([C@@H]1CC[C@@]3([C@@H]2CC=C4[C@]3(CC[C@@]5([C@H]4CC(CC5)(C)C)C(=O)O)C)C)(C)C)O,C1C=C(NC(=O)N1C2=CC=CC=C2O)C3=CC(=CC=C3)[N+](=O)[O-],Icilin,0.2820493921556696
齐墩果酸,C[C@]12CC[C@@H](C([C@@H]1CC[C@@]3([C@@H]2CC=C4[C@]3(CC[C@@]5([C@H]4CC(CC5)(C)C)C(=O)O)C)C)(C)C)O,C[C@@H]1CC[C@H]([C@@H](C1)C(=O)NC2=CC=C(C=C2)OC)C(C)C,Acoltremon,0.2909785156181573
齐墩果酸,C[C@]12CC[C@@H](C([C@@H]1CC[C@@]3([C@@H]2CC=C4[C@]3(CC[C@@]5([C@H]4CC(CC5)(C)C)C(=O)O)C)C)(C)C)O,CCCCCCCCCP(=O)(C(C)C)C(C)C,Cryosim-3,0.31758263418507326
齐墩果酸,C[C@]12CC[C@@H](C([C@@H]1CC[C@@]3([C@@H]2CC=C4[C@]3(CC[C@@]5([C@H]4CC(CC5)(C)C)C(=O)O)C)C)(C)C)O,C[C@@H]1CC[C@H]([C@@H](C1)C(=O)N2C3=C(C=C(C=C3)OC)N(C2=O)CCN)C(C)C,D-3263,0.32516736915430244
鸡屎藤次苷甲酯,COC(=O)C1=CO[C@H]([C@H]2[C@@H]1[C@@H](C=C2CO)O)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O,CCNC(=O)C1CC(CCC1C(C)C)C,TRPM8 agonist WS-3,0.4219599747293955
鸡屎藤次苷甲酯,COC(=O)C1=CO[C@H]([C@H]2[C@@H]1[C@@H](C=C2CO)O)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O,CC1=CC=C(C=C1)OCC(=O)N(CC2=CC=CS2)C3=CC=NN3,FEMA 4809,0.1938973167334681
鸡屎藤次苷甲酯,COC(=O)C1=CO[C@H]([C@H]2[C@@H]1[C@@H](C=C2CO)O)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O,C1C=C(NC(=O)N1C2=CC=CC=C2O)C3=CC(=CC=C3)[N+](=O)[O-],Icilin,0.2950266656767823
鸡屎藤次苷甲酯,COC(=O)C1=CO[C@H]([C@H]2[C@@H]1[C@@H](C=C2CO)O)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O,C[C@@H]1CC[C@H]([C@@H](C1)C(=O)NC2=CC=C(C=C2)OC)C(C)C,Acoltremon,0.2815502123419203
鸡屎藤次苷甲酯,COC(=O)C1=CO[C@H]([C@H]2[C@@H]1[C@@H](C=C2CO)O)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O,CCCCCCCCCP(=O)(C(C)C)C(C)C,Cryosim-3,0.28779175984512223
鸡屎藤次苷甲酯,COC(=O)C1=CO[C@H]([C@H]2[C@@H]1[C@@H](C=C2CO)O)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O,C[C@@H]1CC[C@H]([C@@H](C1)C(=O)N2C3=C(C=C(C=C3)OC)N(C2=O)CCN)C(C)C,D-3263,0.30835385779531665
车叶草苷,CC(=O)OCC1=C[C@H]2[C@H]3[C@@H]1[C@@H](OC=C3C(=O)O2)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O,CCNC(=O)C1CC(CCC1C(C)C)C,TRPM8 agonist WS-3,0.4190154687068738
车叶草苷,CC(=O)OCC1=C[C@H]2[C@H]3[C@@H]1[C@@H](OC=C3C(=O)O2)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O,CC1=CC=C(C=C1)OCC(=O)N(CC2=CC=CS2)C3=CC=NN3,FEMA 4809,0.1650710521080916
车叶草苷,CC(=O)OCC1=C[C@H]2[C@H]3[C@@H]1[C@@H](OC=C3C(=O)O2)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O,C1C=C(NC(=O)N1C2=CC=CC=C2O)C3=CC(=CC=C3)[N+](=O)[O-],Icilin,0.2935683749072589
车叶草苷,CC(=O)OCC1=C[C@H]2[C@H]3[C@@H]1[C@@H](OC=C3C(=O)O2)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O,C[C@@H]1CC[C@H]([C@@H](C1)C(=O)NC2=CC=C(C=C2)OC)C(C)C,Acoltremon,0.26527931995827536
车叶草苷,CC(=O)OCC1=C[C@H]2[C@H]3[C@@H]1[C@@H](OC=C3C(=O)O2)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O,CCCCCCCCCP(=O)(C(C)C)C(C)C,Cryosim-3,0.29041827523477703
车叶草苷,CC(=O)OCC1=C[C@H]2[C@H]3[C@@H]1[C@@H](OC=C3C(=O)O2)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O,C[C@@H]1CC[C@H]([C@@H](C1)C(=O)N2C3=C(C=C(C=C3)OC)N(C2=O)CCN)C(C)C,D-3263,0.3058308290184315
东莨菪素,COC1=C(C=C2C(=C1)C=CC(=O)O2)O,CCNC(=O)C1CC(CCC1C(C)C)C,TRPM8 agonist WS-3,0.5475481570604108
东莨菪素,COC1=C(C=C2C(=C1)C=CC(=O)O2)O,CC1=CC=C(C=C1)OCC(=O)N(CC2=CC=CS2)C3=CC=NN3,FEMA 4809,0.5267429472163714
东莨菪素,COC1=C(C=C2C(=C1)C=CC(=O)O2)O,C1C=C(NC(=O)N1C2=CC=CC=C2O)C3=CC(=CC=C3)[N+](=O)[O-],Icilin,0.5108310470378782
东莨菪素,COC1=C(C=C2C(=C1)C=CC(=O)O2)O,C[C@@H]1CC[C@H]([C@@H](C1)C(=O)NC2=CC=C(C=C2)OC)C(C)C,Acoltremon,0.5419024668404198
东莨菪素,COC1=C(C=C2C(=C1)C=CC(=O)O2)O,CCCCCCCCCP(=O)(C(C)C)C(C)C,Cryosim-3,0.4983265295128363
东莨菪素,COC1=C(C=C2C(=C1)C=CC(=O)O2)O,C[C@@H]1CC[C@H]([C@@H](C1)C(=O)N2C3=C(C=C(C=C3)OC)N(C2=O)CCN)C(C)C,D-3263,0.5294779627658543
秦皮乙素,C1=CC(=O)OC2=CC(=C(C=C21)O)O,CCNC(=O)C1CC(CCC1C(C)C)C,TRPM8 agonist WS-3,0.5339019382620359
秦皮乙素,C1=CC(=O)OC2=CC(=C(C=C21)O)O,CC1=CC=C(C=C1)OCC(=O)N(CC2=CC=CS2)C3=CC=NN3,FEMA 4809,0.48160048906328934
秦皮乙素,C1=CC(=O)OC2=CC(=C(C=C21)O)O,C1C=C(NC(=O)N1C2=CC=CC=C2O)C3=CC(=CC=C3)[N+](=O)[O-],Icilin,0.4561041560104887
秦皮乙素,C1=CC(=O)OC2=CC(=C(C=C21)O)O,C[C@@H]1CC[C@H]([C@@H](C1)C(=O)NC2=CC=C(C=C2)OC)C(C)C,Acoltremon,0.4950805827225303
秦皮乙素,C1=CC(=O)OC2=CC(=C(C=C21)O)O,CCCCCCCCCP(=O)(C(C)C)C(C)C,Cryosim-3,0.4897604438975541
秦皮乙素,C1=CC(=O)OC2=CC(=C(C=C21)O)O,C[C@@H]1CC[C@H]([C@@H](C1)C(=O)N2C3=C(C=C(C=C3)OC)N(C2=O)CCN)C(C)C,D-3263,0.5284942149617529
4-香豆酸,C1=CC(=CC=C1/C=C/C(=O)O)O,CCNC(=O)C1CC(CCC1C(C)C)C,TRPM8 agonist WS-3,0.6216520983311626
4-香豆酸,C1=CC(=CC=C1/C=C/C(=O)O)O,CC1=CC=C(C=C1)OCC(=O)N(CC2=CC=CS2)C3=CC=NN3,FEMA 4809,0.47259853221486714
4-香豆酸,C1=CC(=CC=C1/C=C/C(=O)O)O,C1C=C(NC(=O)N1C2=CC=CC=C2O)C3=CC(=CC=C3)[N+](=O)[O-],Icilin,0.5254951728922472
4-香豆酸,C1=CC(=CC=C1/C=C/C(=O)O)O,C[C@@H]1CC[C@H]([C@@H](C1)C(=O)NC2=CC=C(C=C2)OC)C(C)C,Acoltremon,0.4862520060303972
4-香豆酸,C1=CC(=CC=C1/C=C/C(=O)O)O,CCCCCCCCCP(=O)(C(C)C)C(C)C,Cryosim-3,0.4848825150206428
4-香豆酸,C1=CC(=CC=C1/C=C/C(=O)O)O,C[C@@H]1CC[C@H]([C@@H](C1)C(=O)N2C3=C(C=C(C=C3)OC)N(C2=O)CCN)C(C)C,D-3263,0.5977282707844518
阿魏酸,COC1=C(C=CC(=C1)/C=C/C(=O)O)O,CCNC(=O)C1CC(CCC1C(C)C)C,TRPM8 agonist WS-3,0.577338958815983
阿魏酸,COC1=C(C=CC(=C1)/C=C/C(=O)O)O,CC1=CC=C(C=C1)OCC(=O)N(CC2=CC=CS2)C3=CC=NN3,FEMA 4809,0.48106013250801116
阿魏酸,COC1=C(C=CC(=C1)/C=C/C(=O)O)O,C1C=C(NC(=O)N1C2=CC=CC=C2O)C3=CC(=CC=C3)[N+](=O)[O-],Icilin,0.4948876004730628
阿魏酸,COC1=C(C=CC(=C1)/C=C/C(=O)O)O,C[C@@H]1CC[C@H]([C@@H](C1)C(=O)NC2=CC=C(C=C2)OC)C(C)C,Acoltremon,0.5298063022080665
阿魏酸,COC1=C(C=CC(=C1)/C=C/C(=O)O)O,CCCCCCCCCP(=O)(C(C)C)C(C)C,Cryosim-3,0.47903282904987377
阿魏酸,COC1=C(C=CC(=C1)/C=C/C(=O)O)O,C[C@@H]1CC[C@H]([C@@H](C1)C(=O)N2C3=C(C=C(C=C3)OC)N(C2=O)CCN)C(C)C,D-3263,0.5493547062973188
山奈酚,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O,CCNC(=O)C1CC(CCC1C(C)C)C,TRPM8 agonist WS-3,0.42939198952064117
山奈酚,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O,CC1=CC=C(C=C1)OCC(=O)N(CC2=CC=CS2)C3=CC=NN3,FEMA 4809,0.26972494800094976
