QueryName,QuerySMILES,TargetCompoundName,TargetSMILES,Similarity
槲皮素,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,CC[C@H]1C[C@H]2C[C@@]3([C@H]1N(C2)CCC4=C3NC5=C4C=C(C=C5)OC)C(=O)OC,Voacangine,0.339250887285511
槲皮素,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,CC1=CC(=CC=C1)COC2=CC=CC=C2C(=O)N(CCCN)CC3=CC=CS3.Cl,AMTB hydrochloride,0.41425245838323016
槲皮素,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,C1=CC(=CC=C1CN(C2=C(C=C(C=N2)C(F)(F)F)Cl)S(=O)(=O)C3=CC=C(C=C3)C(=O)O)OC(F)(F)F,RQ-00203078,0.3516953677531194
槲皮素,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,C1CC1C2=C(N=CC3=CC=CC=C32)N(CC4=CC=C(C=C4)OC(F)(F)F)S(=O)(=O)C5=CC=C(C=C5)C(=O)O,Elismetrep,0.299954019509899
槲皮素,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,C1=CC=C(C=C1)N=NC2=C(N=C(C=C2)N)N,Phenazopyridine,0.3228867773434464
槲皮素,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,C1CN([C@@H](C2=CC=CC=C21)C3=CC=C(C=C3)C(F)(F)F)C(=O)NC4=CC=C(C=C4)F,AMG8788,0.2277853486592625
槲皮素,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,CC(C)(C)C1=CC=C(C=C1)NC(=O)N2CCN(CC2)C3=C(C=CC=N3)Cl,BCTC,0.3584211234037702
槲皮素,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,C1=CC=C(C=C1)N=NC2=C(N=C(C=C2)N)N.Cl,Phenazopyridine hydrochloride,0.42009428723627507
齐墩果酸,C[C@]12CC[C@@H](C([C@@H]1CC[C@@]3([C@@H]2CC=C4[C@]3(CC[C@@]5([C@H]4CC(CC5)(C)C)C(=O)O)C)C)(C)C)O,CC[C@H]1C[C@H]2C[C@@]3([C@H]1N(C2)CCC4=C3NC5=C4C=C(C=C5)OC)C(=O)OC,Voacangine,0.3144529701060606
齐墩果酸,C[C@]12CC[C@@H](C([C@@H]1CC[C@@]3([C@@H]2CC=C4[C@]3(CC[C@@]5([C@H]4CC(CC5)(C)C)C(=O)O)C)C)(C)C)O,CC1=CC(=CC=C1)COC2=CC=CC=C2C(=O)N(CCCN)CC3=CC=CS3.Cl,AMTB hydrochloride,0.4124610002017152
