QueryName,QuerySMILES,TargetCompoundName,TargetSMILES,Similarity
槲皮素,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,CCCCCCC[C@@H](CC(=O)CCC1=CC(=C(C=C1)O)OC)O,8-Gingerol,0.361226343259233
槲皮素,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,CC(=CCOC1=C2C(=CC3=C1OC=C3)C=CC(=O)O2)C,Imperatorin,0.3163102895341018
槲皮素,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,C1=CC=C(C=C1)N2C3=CC=CC=C3C(C2=O)(CC4=CC=NC=C4)CC5=CC=NC=C5,Linopirdine,0.35515232251074935
槲皮素,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,CCCCCCCC/C=C\CCCCCCCC(=O)NNCC1=CC(=C(C=C1)O)OC,OMDM-5,0.28652803846818586
槲皮素,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,C[C@@H]1C[C@]2([C@H]3[C@H]4[C@]1([C@@H]5C=C(C(=O)[C@]5(CC(=C4)COC(=O)CC6=CC(=C(C=C6)O)OC)O)C)O[C@](O3)(O2)CC7=CC=CC=C7)C(=C)C,Resiniferatoxin,0.38264848460641854
槲皮素,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,CC(C)/C=C/CCCCC(=O)NCC1=CC(=C(C=C1)O)OC,Capsaicin,0.38737431804331035
槲皮素,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,CC(C)CCCCCCC(=O)OCC1=CC(=C(C=C1)O)OC,Dihydrocapsiate,0.3217612259799259
槲皮素,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,CC(C)(C)C1=CC=C(C=C1)CC(CNC(=S)NCC2=CC(=C(C=C2)O)OC)COC(=O)C(C)(C)C,JYL-273,0.3353428456347969
槲皮素,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,CC(CC1=CC2=C(C=C1)OCO2)NCC(C3=CC(=C(C=C3)O)O)O,Protokylol,0.3520387506721816
槲皮素,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,CC(C)/C=C/CCCCC(=O)NCC1=CC(=C(C=C1)OC(=O)N2CCCCC2CNC)OC,Vocacapsaicin,0.34214433066529626
槲皮素,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,CC1=C(C=C(C=C1)CC(CNC(=O)CC2=CC(=C(C=C2)OCCN)OC)COC(=O)C(C)(C)C)C,MSK-195,0.3330717448355197
槲皮素,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)NCCO,N-Linolenoylethanolamine,0.3969962839946868
槲皮素,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,CCCCCCCC/C=C\CCCCCCCC(=O)NCC1=CC(=C(C=C1)O)OC,Olvanil,0.3822756928834558
槲皮素,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,COC1=C(C=CC(=C1)CNC(=O)CCCC2=CC=CS2)O,MSP-3,0.31200964610022985
槲皮素,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)NCCC1=CC(=C(C=C1)O)O,N-Arachidonyldopamine,0.3750243657052746
槲皮素,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)N[C@H](C)CO,(R)-Methanandamide,0.3797533482837037
齐墩果酸,C[C@]12CC[C@@H](C([C@@H]1CC[C@@]3([C@@H]2CC=C4[C@]3(CC[C@@]5([C@H]4CC(CC5)(C)C)C(=O)O)C)C)(C)C)O,CCCCCCC[C@@H](CC(=O)CCC1=CC(=C(C=C1)O)OC)O,8-Gingerol,0.3534066942728511
齐墩果酸,C[C@]12CC[C@@H](C([C@@H]1CC[C@@]3([C@@H]2CC=C4[C@]3(CC[C@@]5([C@H]4CC(CC5)(C)C)C(=O)O)C)C)(C)C)O,CC(=CCOC1=C2C(=CC3=C1OC=C3)C=CC(=O)O2)C,Imperatorin,0.32628924310067486
齐墩果酸,C[C@]12CC[C@@H](C([C@@H]1CC[C@@]3([C@@H]2CC=C4[C@]3(CC[C@@]5([C@H]4CC(CC5)(C)C)C(=O)O)C)C)(C)C)O,C1=CC=C(C=C1)N2C3=CC=CC=C3C(C2=O)(CC4=CC=NC=C4)CC5=CC=NC=C5,Linopirdine,0.34680344035879285
齐墩果酸,C[C@]12CC[C@@H](C([C@@H]1CC[C@@]3([C@@H]2CC=C4[C@]3(CC[C@@]5([C@H]4CC(CC5)(C)C)C(=O)O)C)C)(C)C)O,CCCCCCCC/C=C\CCCCCCCC(=O)NNCC1=CC(=C(C=C1)O)OC,OMDM-5,0.22487044999680122
齐墩果酸,C[C@]12CC[C@@H](C([C@@H]1CC[C@@]3([C@@H]2CC=C4[C@]3(CC[C@@]5([C@H]4CC(CC5)(C)C)C(=O)O)C)C)(C)C)O,C[C@@H]1C[C@]2([C@H]3[C@H]4[C@]1([C@@H]5C=C(C(=O)[C@]5(CC(=C4)COC(=O)CC6=CC(=C(C=C6)O)OC)O)C)O[C@](O3)(O2)CC7=CC=CC=C7)C(=C)C,Resiniferatoxin,0.3981768114862504
齐墩果酸,C[C@]12CC[C@@H](C([C@@H]1CC[C@@]3([C@@H]2CC=C4[C@]3(CC[C@@]5([C@H]4CC(CC5)(C)C)C(=O)O)C)C)(C)C)O,CC(C)/C=C/CCCCC(=O)NCC1=CC(=C(C=C1)O)OC,Capsaicin,0.3293316647884367
齐墩果酸,C[C@]12CC[C@@H](C([C@@H]1CC[C@@]3([C@@H]2CC=C4[C@]3(CC[C@@]5([C@H]4CC(CC5)(C)C)C(=O)O)C)C)(C)C)O,CC(C)CCCCCCC(=O)OCC1=CC(=C(C=C1)O)OC,Dihydrocapsiate,0.3587086472257947
