QueryName,QuerySMILES,TargetCompoundName,TargetSMILES,Similarity
槲皮素,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,C1CN(CC=C1C(=O)NC2=CC=C(C=C2)S(=O)(=O)C(F)(F)F)C3=C(C=CC=N3)C(F)(F)F,A-784168	,0.3165676307160409
槲皮素,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,C1=CC(=C(C=C1/C=C/C(=O)O)O)O,Caffeic acid,0.247683435202353
槲皮素,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,C1CCC(CC1)CNC2=C(C=CC(=C2)C(F)(F)F)C3=CC(=NC=N3)NC4=CC5=C(C=C4)N=CS5,AMG 7905,0.26026691850623657
槲皮素,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,CCCCCCCCCCCCCCCCCC(=O)NCCC1=CNC2=C1C=C(C=C2)O,Stearoyl Serotonin,0.43407439823834526
槲皮素,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,C1=CC(=C(C(=C1)Cl)CC2=NC3=C(N=CN=C3S2)NC4=CC=C(C=C4)C(F)(F)F)Cl,JNJ-39729209,0.28612330382525997
槲皮素,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,C1=CC(=C(N=C1)C2=CN=C(C=C2)C3=NC4=C(N3)C=C(C=C4)Br)C(F)(F)F,DWP-05195,0.2843888250403346
槲皮素,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,CC(C)(C)C1=CC=C(C=C1)NC(=O)N2CCN(CC2)C3=C(C=CC=N3)Cl,BCTC,0.3584211234037702
槲皮素,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,CC/C=C\C[C@@H]([C@@H](/C=C/C=C/C=C\C=C\[C@H](C/C=C\CCC(=O)O)O)O)O,Resolvin D2,0.39179472164547924
槲皮素,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)NCCC1=CNC2=C1C=C(C=C2)O,N-Arachidonoylserotonin,0.4238893884653115
槲皮素,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,C1=CC=C(C=C1)NC2=C(N=C3N2C=CC=C3)C4=CC=CC=N4,LASSBio-1135,0.38254638135464003
槲皮素,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,CC[C@H]1C[C@H]2C[C@@]3([C@H]1N(C2)CCC4=C3NC5=C4C=C(C=C5)OC)C(=O)OC,Voacangine,0.339250887285511
齐墩果酸,C[C@]12CC[C@@H](C([C@@H]1CC[C@@]3([C@@H]2CC=C4[C@]3(CC[C@@]5([C@H]4CC(CC5)(C)C)C(=O)O)C)C)(C)C)O,C1CN(CC=C1C(=O)NC2=CC=C(C=C2)S(=O)(=O)C(F)(F)F)C3=C(C=CC=N3)C(F)(F)F,A-784168	,0.2776388370441456
齐墩果酸,C[C@]12CC[C@@H](C([C@@H]1CC[C@@]3([C@@H]2CC=C4[C@]3(CC[C@@]5([C@H]4CC(CC5)(C)C)C(=O)O)C)C)(C)C)O,C1=CC(=C(C=C1/C=C/C(=O)O)O)O,Caffeic acid,0.24130028369386855
