QueryName,QuerySMILES,TargetCompoundName,TargetSMILES,Similarity
槲皮素,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,CN1CCN(CC1)C2=NC3=C(C=CC=C3F)C(=O)N2C4=CC=C(C=C4)OC5=CC=C(C=C5)F,TRPV4 agonist-1 free base,0.49476191502215716
槲皮素,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,CN1CCN(CC1)C2=NC3=C(C=CC=C3F)C(=O)N2C4=CC=C(C=C4)OC5=CC=C(C=C5)F.Cl,TRPV4 agonist-1,0.39614769528722227
槲皮素,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,CC(C)C[C@@H](C(=O)N1CCN(CC1)C(=O)[C@H](CO)NS(=O)(=O)C2=C(C=C(C=C2)Cl)Cl)NC(=O)C3=CC4=CC=CC=C4S3,GSK1016790A,0.291265831878446
齐墩果酸,C[C@]12CC[C@@H](C([C@@H]1CC[C@@]3([C@@H]2CC=C4[C@]3(CC[C@@]5([C@H]4CC(CC5)(C)C)C(=O)O)C)C)(C)C)O,CN1CCN(CC1)C2=NC3=C(C=CC=C3F)C(=O)N2C4=CC=C(C=C4)OC5=CC=C(C=C5)F,TRPV4 agonist-1 free base,0.5198748971651616
齐墩果酸,C[C@]12CC[C@@H](C([C@@H]1CC[C@@]3([C@@H]2CC=C4[C@]3(CC[C@@]5([C@H]4CC(CC5)(C)C)C(=O)O)C)C)(C)C)O,CN1CCN(CC1)C2=NC3=C(C=CC=C3F)C(=O)N2C4=CC=C(C=C4)OC5=CC=C(C=C5)F.Cl,TRPV4 agonist-1,0.4295399328446339
齐墩果酸,C[C@]12CC[C@@H](C([C@@H]1CC[C@@]3([C@@H]2CC=C4[C@]3(CC[C@@]5([C@H]4CC(CC5)(C)C)C(=O)O)C)C)(C)C)O,CC(C)C[C@@H](C(=O)N1CCN(CC1)C(=O)[C@H](CO)NS(=O)(=O)C2=C(C=C(C=C2)Cl)Cl)NC(=O)C3=CC4=CC=CC=C4S3,GSK1016790A,0.2723831985485674
鸡屎藤次苷甲酯,COC(=O)C1=CO[C@H]([C@H]2[C@@H]1[C@@H](C=C2CO)O)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O,CN1CCN(CC1)C2=NC3=C(C=CC=C3F)C(=O)N2C4=CC=C(C=C4)OC5=CC=C(C=C5)F,TRPV4 agonist-1 free base,0.5176510556720302
鸡屎藤次苷甲酯,COC(=O)C1=CO[C@H]([C@H]2[C@@H]1[C@@H](C=C2CO)O)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O,CN1CCN(CC1)C2=NC3=C(C=CC=C3F)C(=O)N2C4=CC=C(C=C4)OC5=CC=C(C=C5)F.Cl,TRPV4 agonist-1,0.40530424929144715
鸡屎藤次苷甲酯,COC(=O)C1=CO[C@H]([C@H]2[C@@H]1[C@@H](C=C2CO)O)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O,CC(C)C[C@@H](C(=O)N1CCN(CC1)C(=O)[C@H](CO)NS(=O)(=O)C2=C(C=C(C=C2)Cl)Cl)NC(=O)C3=CC4=CC=CC=C4S3,GSK1016790A,0.2503904325472845
车叶草苷,CC(=O)OCC1=C[C@H]2[C@H]3[C@@H]1[C@@H](OC=C3C(=O)O2)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O,CN1CCN(CC1)C2=NC3=C(C=CC=C3F)C(=O)N2C4=CC=C(C=C4)OC5=CC=C(C=C5)F,TRPV4 agonist-1 free base,0.5095533181933396
