ID1,ID2,Similarity_PC-score8Q,Similarity_PC-score8T
(E)-4-Oxo-2-nonenal,4-香豆酸,0.5146,0.5614
4-(Phenyldiazenyl)benzoic acid,4-香豆酸,0.7633,0.5388
ASP7663,4-香豆酸,0.73,0.4611
JT010,4-香豆酸,0.7723,0.403
Methyl syringate,4-香豆酸,0.7145,0.5716
Moringin,4-香豆酸,0.7523,0.4299
PF-4840154,4-香豆酸,0.759,0.2679
TRPA1 Antagonist 3,4-香豆酸,0.7149,0.5719
Voacangine,4-香豆酸,0.7059,0.3137
(E)-4-Oxo-2-nonenal,β-谷甾醇,0.1915,0.5222
4-(Phenyldiazenyl)benzoic acid,β-谷甾醇,0.2466,0.4352
ASP7663,β-谷甾醇,0.3195,0.5045
JT010,β-谷甾醇,0.3887,0.507
Methyl syringate,β-谷甾醇,0.2324,0.4648
Moringin,β-谷甾醇,0.3638,0.5197
PF-4840154,β-谷甾醇,0.5217,0.4603
TRPA1 Antagonist 3,β-谷甾醇,0.177,0.3541
Voacangine,β-谷甾醇,0.4803,0.5337
(E)-4-Oxo-2-nonenal,东莨菪素,0.3611,0.4596
4-(Phenyldiazenyl)benzoic acid,东莨菪素,0.7587,0.6248
ASP7663,东莨菪素,0.6263,0.4615
JT010,东莨菪素,0.6618,0.4028
Methyl syringate,东莨菪素,0.6831,0.6376
Moringin,东莨菪素,0.642,0.428
PF-4840154,东莨菪素,0.7401,0.3047
TRPA1 Antagonist 3,东莨菪素,0.676,0.6309
Voacangine,东莨菪素,0.6828,0.354
(E)-4-Oxo-2-nonenal,去乙酰基车叶草甙酸,0.2113,0.5187
4-(Phenyldiazenyl)benzoic acid,去乙酰基车叶草甙酸,0.3015,0.4789
ASP7663,去乙酰基车叶草甙酸,0.3312,0.4707
JT010,去乙酰基车叶草甙酸,0.4245,0.4983
Methyl syringate,去乙酰基车叶草甙酸,0.2754,0.4957
Moringin,去乙酰基车叶草甙酸,0.4952,0.6367
PF-4840154,去乙酰基车叶草甙酸,0.5088,0.404
TRPA1 Antagonist 3,去乙酰基车叶草甙酸,0.2702,0.4863
Voacangine,去乙酰基车叶草甙酸,0.5178,0.5178
(E)-4-Oxo-2-nonenal,山奈酚,0.2494,0.4761
4-(Phenyldiazenyl)benzoic acid,山奈酚,0.6163,0.7614
ASP7663,山奈酚,0.5157,0.57
JT010,山奈酚,0.5609,0.5121
Methyl syringate,山奈酚,0.4271,0.5979
Moringin,山奈酚,0.5666,0.5666
PF-4840154,山奈酚,0.6467,0.3994
TRPA1 Antagonist 3,山奈酚,0.5838,0.8173
Voacangine,山奈酚,0.5709,0.444
(E)-4-Oxo-2-nonenal,槲皮素,0.2357,0.4714
4-(Phenyldiazenyl)benzoic acid,槲皮素,0.5084,0.6579
ASP7663,槲皮素,0.4921,0.5698
JT010,槲皮素,0.5731,0.5482
Methyl syringate,槲皮素,0.4481,0.6573
Moringin,槲皮素,0.5372,0.5628
PF-4840154,槲皮素,0.6515,0.4215
TRPA1 Antagonist 3,槲皮素,0.5616,0.8236
Voacangine,槲皮素,0.5635,0.4591
(E)-4-Oxo-2-nonenal,熊果酸,0.1517,0.455
4-(Phenyldiazenyl)benzoic acid,熊果酸,0.2307,0.4479
ASP7663,熊果酸,0.2513,0.4365
JT010,熊果酸,0.3218,0.4618
Methyl syringate,熊果酸,0.2411,0.5304
Moringin,熊果酸,0.3665,0.5759
PF-4840154,熊果酸,0.5072,0.4923
TRPA1 Antagonist 3,熊果酸,0.1635,0.3597
Voacangine,熊果酸,0.4241,0.5184
(E)-4-Oxo-2-nonenal,秦皮乙素,0.3663,0.4329
4-(Phenyldiazenyl)benzoic acid,秦皮乙素,0.6178,0.4724
ASP7663,秦皮乙素,0.6587,0.4507
JT010,秦皮乙素,0.663,0.3747
Methyl syringate,秦皮乙素,0.6734,0.5836
Moringin,秦皮乙素,0.6365,0.394
PF-4840154,秦皮乙素,0.6688,0.2557
TRPA1 Antagonist 3,秦皮乙素,0.6028,0.5224
Voacangine,秦皮乙素,0.676,0.3255
(E)-4-Oxo-2-nonenal,胡萝卜甙,0.1287,0.4797
