ID1,ID2,Similarity_PC-score8Q,Similarity_PC-score8T
Acoltremon,4-香豆酸,0.7782,0.4447
Cryosim-3,4-香豆酸,0.4773,0.3369
D-3263,4-香豆酸,0.755,0.3356
FEMA 4809,4-香豆酸,0.8746,0.4563
Icilin,4-香豆酸,0.7286,0.3801
TRPM8 agonist WS-3,4-香豆酸,0.6009,0.4807
Acoltremon,β-谷甾醇,0.5936,0.4155
Cryosim-3,β-谷甾醇,0.6204,0.3515
D-3263,β-谷甾醇,0.5068,0.4561
FEMA 4809,β-谷甾醇,0.3874,0.297
Icilin,β-谷甾醇,0.4979,0.3817
TRPM8 agonist WS-3,β-谷甾醇,0.5781,0.289
Acoltremon,东莨菪素,0.7068,0.4712
Cryosim-3,东莨菪素,0.4165,0.343
D-3263,东莨菪素,0.7085,0.3674
FEMA 4809,东莨菪素,0.6162,0.3751
Icilin,东莨菪素,0.6648,0.4047
TRPM8 agonist WS-3,东莨菪素,0.4949,0.4619
Acoltremon,去乙酰基车叶草甙酸,0.6192,0.4816
Cryosim-3,去乙酰基车叶草甙酸,0.3758,0.5969
D-3263,去乙酰基车叶草甙酸,0.596,0.596
FEMA 4809,去乙酰基车叶草甙酸,0.5036,0.429
Icilin,去乙酰基车叶草甙酸,0.5239,0.4463
TRPM8 agonist WS-3,去乙酰基车叶草甙酸,0.6291,0.3495
Acoltremon,山奈酚,0.6497,0.6497
Cryosim-3,山奈酚,0.3943,0.4871
D-3263,山奈酚,0.5923,0.4607
FEMA 4809,山奈酚,0.5723,0.5225
Icilin,山奈酚,0.6825,0.6231
TRPM8 agonist WS-3,山奈酚,0.3139,0.4395
Acoltremon,槲皮素,0.6119,0.641
Cryosim-3,槲皮素,0.3937,0.5095
D-3263,槲皮素,0.599,0.4881
FEMA 4809,槲皮素,0.5536,0.5295
Icilin,槲皮素,0.724,0.6925
TRPM8 agonist WS-3,槲皮素,0.3252,0.4769
Acoltremon,熊果酸,0.6069,0.3862
Cryosim-3,熊果酸,0.5297,0.2729
D-3263,熊果酸,0.5349,0.4377
FEMA 4809,熊果酸,0.4026,0.2806
Icilin,熊果酸,0.5639,0.3931
TRPM8 agonist WS-3,熊果酸,0.6273,0.2851
Acoltremon,秦皮乙素,0.6947,0.43
Cryosim-3,秦皮乙素,0.3642,0.2785
D-3263,秦皮乙素,0.6886,0.3316
FEMA 4809,秦皮乙素,0.6301,0.3561
Icilin,秦皮乙素,0.665,0.3759
TRPM8 agonist WS-3,秦皮乙素,0.4643,0.4024
Acoltremon,胡萝卜甙,0.5534,0.2834
Cryosim-3,胡萝卜甙,0.547,0.2268
D-3263,胡萝卜甙,0.5321,0.3504
FEMA 4809,胡萝卜甙,0.4173,0.2341
Icilin,胡萝卜甙,0.5415,0.3038
TRPM8 agonist WS-3,胡萝卜甙,0.5384,0.197
Acoltremon,豆甾醇,0.554,0.3878
Cryosim-3,豆甾醇,0.5741,0.3253
D-3263,豆甾醇,0.5091,0.4582
FEMA 4809,豆甾醇,0.4468,0.3425
Icilin,豆甾醇,0.5401,0.414
TRPM8 agonist WS-3,豆甾醇,0.5787,0.2894
Acoltremon,车叶草苷,0.5671,0.4107
Cryosim-3,车叶草苷,0.5951,0.3489
D-3263,车叶草苷,0.5878,0.5473
FEMA 4809,车叶草苷,0.4804,0.381
Icilin,车叶草苷,0.5239,0.4155
TRPM8 agonist WS-3,车叶草苷,0.6168,0.319
Acoltremon,车叶草酸,0.6277,0.4394
Cryosim-3,车叶草酸,0.6085,0.3448
D-3263,车叶草酸,0.5793,0.5214
FEMA 4809,车叶草酸,0.4487,0.344
Icilin,车叶草酸,0.5279,0.4048
TRPM8 agonist WS-3,车叶草酸,0.6465,0.3232
Acoltremon,阿魏酸,0.7461,0.4974
Cryosim-3,阿魏酸,0.506,0.4167
D-3263,阿魏酸,0.6111,0.3169
FEMA 4809,阿魏酸,0.8059,0.4905
Icilin,阿魏酸,0.5445,0.3314
TRPM8 agonist WS-3,阿魏酸,0.5502,0.5136
Acoltremon,鸡屎藤次甙,0.6252,0.4863
Cryosim-3,鸡屎藤次甙,0.3808,0.6049
D-3263,鸡屎藤次甙,0.6369,0.6369
FEMA 4809,鸡屎藤次甙,0.4593,0.3913
Icilin,鸡屎藤次甙,0.5161,0.4397
TRPM8 agonist WS-3,鸡屎藤次甙,0.6292,0.3496
Acoltremon,鸡屎藤次苷甲酯,0.6198,0.4649
Cryosim-3,鸡屎藤次苷甲酯,0.5848,0.355
D-3263,鸡屎藤次苷甲酯,0.6181,0.641
FEMA 4809,鸡屎藤次苷甲酯,0.4606,0.3784
Icilin,鸡屎藤次苷甲酯,0.5338,0.4385
TRPM8 agonist WS-3,鸡屎藤次苷甲酯,0.6464,0.3463
Acoltremon,齐墩果酸,0.6552,0.4169
Cryosim-3,齐墩果酸,0.5475,0.2821
D-3263,齐墩果酸,0.5427,0.444
FEMA 4809,齐墩果酸,0.4331,0.3018
Icilin,齐墩果酸,0.5501,0.3834
TRPM8 agonist WS-3,齐墩果酸,0.5942,0.2701
