ID1,ID2,Similarity_PC-score8Q,Similarity_PC-score8T
AMG8788,4-香豆酸,0.771,0.3084
AMTB hydrochloride,4-香豆酸,0.747,0.3201
BCTC,4-香豆酸,0.7501,0.3462
Elismetrep,4-香豆酸,0.7717,0.2437
Phenazopyridine hydrochloride,4-香豆酸,0.8061,0.6046
Phenazopyridine,4-香豆酸,0.8061,0.6046
RQ-00203078,4-香豆酸,0.7792,0.2597
Voacangine,4-香豆酸,0.7072,0.3143
AMG8788,β-谷甾醇,0.472,0.472
AMTB hydrochloride,β-谷甾醇,0.4322,0.4033
BCTC,β-谷甾醇,0.5238,0.454
Elismetrep,β-谷甾醇,0.3581,0.4536
Phenazopyridine hydrochloride,β-谷甾醇,0.4721,0.2518
Phenazopyridine,β-谷甾醇,0.4721,0.2518
RQ-00203078,β-谷甾醇,0.4061,0.4873
Voacangine,β-谷甾醇,0.5643,0.5079
AMG8788,东莨菪素,0.6218,0.2902
AMTB hydrochloride,东莨菪素,0.5539,0.277
BCTC,东莨菪素,0.6143,0.3308
Elismetrep,东莨菪素,0.8788,0.3238
Phenazopyridine hydrochloride,东莨菪素,0.7297,0.6385
Phenazopyridine,东莨菪素,0.7297,0.6385
RQ-00203078,东莨菪素,0.6531,0.254
Voacangine,东莨菪素,0.6828,0.354
AMG8788,去乙酰基车叶草甙酸,0.4438,0.4931
AMTB hydrochloride,去乙酰基车叶草甙酸,0.4822,0.465
BCTC,去乙酰基车叶草甙酸,0.4809,0.4994
Elismetrep,去乙酰基车叶草甙酸,0.4689,0.3332
Phenazopyridine hydrochloride,去乙酰基车叶草甙酸,0.4966,0.2943
Phenazopyridine,去乙酰基车叶草甙酸,0.4966,0.2943
RQ-00203078,去乙酰基车叶草甙酸,0.3913,0.5217
Voacangine,去乙酰基车叶草甙酸,0.542,0.542
AMG8788,山奈酚,0.6936,0.4855
AMTB hydrochloride,山奈酚,0.6563,0.4922
BCTC,山奈酚,0.6465,0.5222
Elismetrep,山奈酚,0.7629,0.4216
Phenazopyridine hydrochloride,山奈酚,0.7609,0.5797
Phenazopyridine,山奈酚,0.7609,0.5797
RQ-00203078,山奈酚,0.7282,0.4248
Voacangine,山奈酚,0.5709,0.444
AMG8788,槲皮素,0.6845,0.502
AMTB hydrochloride,槲皮素,0.7003,0.5502
BCTC,槲皮素,0.6354,0.5376
Elismetrep,槲皮素,0.7638,0.4422
Phenazopyridine hydrochloride,槲皮素,0.7481,0.5441
Phenazopyridine,槲皮素,0.7481,0.5441
RQ-00203078,槲皮素,0.7259,0.4436
Voacangine,槲皮素,0.5635,0.4591
AMG8788,熊果酸,0.4721,0.4292
AMTB hydrochloride,熊果酸,0.4043,0.3431
BCTC,熊果酸,0.5361,0.4224
Elismetrep,熊果酸,0.3815,0.4394
Phenazopyridine hydrochloride,熊果酸,0.3991,0.1935
Phenazopyridine,熊果酸,0.3991,0.1935
RQ-00203078,熊果酸,0.4414,0.4815
Voacangine,熊果酸,0.5217,0.4269
AMG8788,秦皮乙素,0.6828,0.2959
AMTB hydrochloride,秦皮乙素,0.664,0.3083
BCTC,秦皮乙素,0.6582,0.3291
Elismetrep,秦皮乙素,0.6348,0.2172
Phenazopyridine hydrochloride,秦皮乙素,0.7377,0.5994
Phenazopyridine,秦皮乙素,0.7377,0.5994
RQ-00203078,秦皮乙素,0.6329,0.2285
Voacangine,秦皮乙素,0.676,0.3255
AMG8788,胡萝卜甙,0.4796,0.3509
AMTB hydrochloride,胡萝卜甙,0.4417,0.3017
BCTC,胡萝卜甙,0.5782,0.3666
Elismetrep,胡萝卜甙,0.3966,0.3676
Phenazopyridine hydrochloride,胡萝卜甙,0.5266,0.2055
Phenazopyridine,胡萝卜甙,0.5266,0.2055
RQ-00203078,胡萝卜甙,0.4565,0.4008
Voacangine,胡萝卜甙,0.5247,0.3455
AMG8788,豆甾醇,0.4585,0.4585
AMTB hydrochloride,豆甾醇,0.4177,0.3899
BCTC,豆甾醇,0.5275,0.4572
Elismetrep,豆甾醇,0.3558,0.4507
Phenazopyridine hydrochloride,豆甾醇,0.4846,0.2584
Phenazopyridine,豆甾醇,0.4846,0.2584
RQ-00203078,豆甾醇,0.3837,0.4605
Voacangine,豆甾醇,0.5262,0.4736
AMG8788,车叶草苷,0.4632,0.4792
AMTB hydrochloride,车叶草苷,0.4284,0.4436
BCTC,车叶草苷,0.493,0.442
