ID1,ID2,Similarity_PC-score8Q,Similarity_PC-score8T
Probenecid,4-香豆酸,0.8029,0.5071
Probenecid,β-谷甾醇,0.5465,0.3461
Probenecid,东莨菪素,0.605,0.4458
Probenecid,去乙酰基车叶草甙酸,0.6085,0.4282
Probenecid,山奈酚,0.5245,0.5797
Probenecid,槲皮素,0.4862,0.563
Probenecid,熊果酸,0.4819,0.2774
Probenecid,秦皮乙素,0.6111,0.4181
Probenecid,胡萝卜甙,0.5396,0.25
Probenecid,豆甾醇,0.5021,0.318
Probenecid,车叶草苷,0.5793,0.3795
Probenecid,车叶草酸,0.6251,0.3959
Probenecid,阿魏酸,0.7351,0.5417
Probenecid,鸡屎藤次甙,0.6073,0.4274
Probenecid,鸡屎藤次苷甲酯,0.5901,0.4004
Probenecid,齐墩果酸,0.4983,0.2869
