ID1,ID2,Similarity_PC-score8Q,Similarity_PC-score8T
Murpanicin,4-香豆酸,0.6608,0.3604
SET2,4-香豆酸,0.7642,0.3397
TRPV2-selective blocker 1,4-香豆酸,0.7457,0.4972
Murpanicin,β-谷甾醇,0.545,0.3997
SET2,β-谷甾醇,0.484,0.4356
TRPV2-selective blocker 1,β-谷甾醇,0.4774,0.2864
Murpanicin,东莨菪素,0.9068,0.577
SET2,东莨菪素,0.5762,0.2988
TRPV2-selective blocker 1,东莨菪素,0.5275,0.4103
Murpanicin,去乙酰基车叶草甙酸,0.4992,0.4068
SET2,去乙酰基车叶草甙酸,0.5399,0.5399
TRPV2-selective blocker 1,去乙酰基车叶草甙酸,0.4897,0.3264
Murpanicin,山奈酚,0.6722,0.6416
SET2,山奈酚,0.5331,0.4146
TRPV2-selective blocker 1,山奈酚,0.4396,0.5128
Murpanicin,槲皮素,0.6758,0.6758
SET2,槲皮素,0.5648,0.4602
TRPV2-selective blocker 1,槲皮素,0.4248,0.5192
Murpanicin,熊果酸,0.4652,0.3101
SET2,熊果酸,0.4799,0.3927
TRPV2-selective blocker 1,熊果酸,0.4345,0.237
Murpanicin,秦皮乙素,0.9131,0.5395
SET2,秦皮乙素,0.5978,0.2878
TRPV2-selective blocker 1,秦皮乙素,0.576,0.416
Murpanicin,胡萝卜甙,0.5451,0.2925
SET2,胡萝卜甙,0.5058,0.3331
TRPV2-selective blocker 1,胡萝卜甙,0.5225,0.2294
Murpanicin,豆甾醇,0.5251,0.385
SET2,豆甾醇,0.4623,0.4161
TRPV2-selective blocker 1,豆甾醇,0.5424,0.3254
Murpanicin,车叶草苷,0.5328,0.4042
SET2,车叶草苷,0.5142,0.4788
TRPV2-selective blocker 1,车叶草苷,0.581,0.3606
Murpanicin,车叶草酸,0.5234,0.3838
SET2,车叶草酸,0.4992,0.4493
TRPV2-selective blocker 1,车叶草酸,0.5323,0.3194
Murpanicin,阿魏酸,0.6935,0.4413
SET2,阿魏酸,0.7729,0.4007
TRPV2-selective blocker 1,阿魏酸,0.7324,0.5696
Murpanicin,鸡屎藤次甙,0.5045,0.4111
SET2,鸡屎藤次甙,0.5377,0.5377
TRPV2-selective blocker 1,鸡屎藤次甙,0.4738,0.3159
Murpanicin,鸡屎藤次苷甲酯,0.512,0.4023
SET2,鸡屎藤次苷甲酯,0.5486,0.529
TRPV2-selective blocker 1,鸡屎藤次苷甲酯,0.5156,0.3314
Murpanicin,齐墩果酸,0.4447,0.2964
SET2,齐墩果酸,0.47,0.3846
TRPV2-selective blocker 1,齐墩果酸,0.4399,0.2399
