ID1,ID2,Similarity_PC-score8Q,Similarity_PC-score8T
(E)-4-Oxo-2-nonenal,4-香豆酸,0.5184,0.5655
4-(Phenyldiazenyl)benzoic acid,4-香豆酸,0.7927,0.5596
ASP7663,4-香豆酸,0.73,0.4611
JT010,4-香豆酸,0.7723,0.403
Methyl syringate,4-香豆酸,0.7145,0.5716
Moringin,4-香豆酸,0.8324,0.4757
PF-4840154,4-香豆酸,0.759,0.2679
TRPA1 Antagonist 3,4-香豆酸,0.7952,0.6362
Voacangine,4-香豆酸,0.7072,0.3143
(E)-4-Oxo-2-nonenal,β-谷甾醇,0.6003,0.2201
4-(Phenyldiazenyl)benzoic acid,β-谷甾醇,0.4637,0.2628
ASP7663,β-谷甾醇,0.5281,0.3345
JT010,β-谷甾醇,0.5353,0.4104
Methyl syringate,β-谷甾醇,0.5035,0.2518
Moringin,β-谷甾醇,0.5914,0.414
PF-4840154,β-谷甾醇,0.5174,0.5863
TRPA1 Antagonist 3,β-谷甾醇,0.4139,0.2069
Voacangine,β-谷甾醇,0.5643,0.5079
(E)-4-Oxo-2-nonenal,东莨菪素,0.3611,0.4596
4-(Phenyldiazenyl)benzoic acid,东莨菪素,0.7587,0.6248
ASP7663,东莨菪素,0.6263,0.4615
JT010,东莨菪素,0.6618,0.4028
Methyl syringate,东莨菪素,0.6831,0.6376
Moringin,东莨菪素,0.642,0.428
PF-4840154,东莨菪素,0.7401,0.3047
TRPA1 Antagonist 3,东莨菪素,0.676,0.6309
Voacangine,东莨菪素,0.6828,0.354
(E)-4-Oxo-2-nonenal,去乙酰基车叶草甙酸,0.5781,0.2355
4-(Phenyldiazenyl)benzoic acid,去乙酰基车叶草甙酸,0.5242,0.33
ASP7663,去乙酰基车叶草甙酸,0.5164,0.3634
JT010,去乙酰基车叶草甙酸,0.517,0.4404
Methyl syringate,去乙酰基车叶草甙酸,0.5745,0.3192
Moringin,去乙酰基车叶草甙酸,0.6711,0.522
PF-4840154,去乙酰基车叶草甙酸,0.5417,0.4302
TRPA1 Antagonist 3,去乙酰基车叶草甙酸,0.4766,0.2648
Voacangine,去乙酰基车叶草甙酸,0.542,0.542
(E)-4-Oxo-2-nonenal,山奈酚,0.4982,0.2609
4-(Phenyldiazenyl)benzoic acid,山奈酚,0.7537,0.6102
ASP7663,山奈酚,0.5434,0.6006
JT010,山奈酚,0.5902,0.5388
Methyl syringate,山奈酚,0.6415,0.4582
Moringin,山奈酚,0.5748,0.5748
PF-4840154,山奈酚,0.6586,0.4068
TRPA1 Antagonist 3,山奈酚,0.863,0.6164
Voacangine,山奈酚,0.5709,0.444
(E)-4-Oxo-2-nonenal,槲皮素,0.5463,0.2731
4-(Phenyldiazenyl)benzoic acid,槲皮素,0.7526,0.5816
ASP7663,槲皮素,0.5201,0.6022
JT010,槲皮素,0.5731,0.5482
Methyl syringate,槲皮素,0.6202,0.4229
Moringin,槲皮素,0.5478,0.5739
PF-4840154,槲皮素,0.6515,0.4215
TRPA1 Antagonist 3,槲皮素,0.873,0.5953
Voacangine,槲皮素,0.5635,0.4591
(E)-4-Oxo-2-nonenal,熊果酸,0.5048,0.1683
4-(Phenyldiazenyl)benzoic acid,熊果酸,0.4799,0.2472
ASP7663,熊果酸,0.4463,0.257
JT010,熊果酸,0.45,0.3136
