ID1,ID2,Similarity_PC-score8Q,Similarity_PC-score8T
2-Fluoro-4-iodobenzonitrile,4-香豆酸,0.8263,0.6886
AP-18,4-香豆酸,0.8703,0.746
BAY-390,4-香豆酸,0.8298,0.5241
GDC-0334,4-香豆酸,0.798,0.2335
GDC-6599,4-香豆酸,0.6999,0.28
HC-030031,4-香豆酸,0.7625,0.3519
hTRPA1-IN-1,4-香豆酸,0.5553,0.238
Resolvin D2,4-香豆酸,0.5494,0.2442
TRPA1-IN-2,4-香豆酸,0.7621,0.2858
2-Fluoro-4-iodobenzonitrile,β-谷甾醇,0.3288,0.1096
AP-18,β-谷甾醇,0.5479,0.2557
BAY-390,β-谷甾醇,0.531,0.3363
GDC-0334,β-谷甾醇,0.335,0.4578
GDC-6599,β-谷甾醇,0.4783,0.4783
HC-030031,β-谷甾醇,0.491,0.4256
hTRPA1-IN-1,β-谷甾醇,0.6402,0.5975
Resolvin D2,β-谷甾醇,0.5406,0.4865
TRPA1-IN-2,β-谷甾醇,0.491,0.5237
2-Fluoro-4-iodobenzonitrile,东莨菪素,0.7047,0.5034
AP-18,东莨菪素,0.5842,0.5842
BAY-390,东莨菪素,0.6312,0.4651
GDC-0334,东莨菪素,0.8009,0.2735
GDC-6599,东莨菪素,0.6897,0.3218
HC-030031,东莨菪素,0.5687,0.3062
hTRPA1-IN-1,东莨菪素,0.5646,0.2823
Resolvin D2,东莨菪素,0.4382,0.2272
TRPA1-IN-2,东莨菪素,0.6264,0.2741
2-Fluoro-4-iodobenzonitrile,去乙酰基车叶草甙酸,0.4216,0.1562
AP-18,去乙酰基车叶草甙酸,0.5684,0.2947
BAY-390,去乙酰基车叶草甙酸,0.6165,0.4339
GDC-0334,去乙酰基车叶草甙酸,0.5069,0.3338
GDC-6599,去乙酰基车叶草甙酸,0.4454,0.4009
HC-030031,去乙酰基车叶草甙酸,0.4981,0.4796
hTRPA1-IN-1,去乙酰基车叶草甙酸,0.6706,0.6467
Resolvin D2,去乙酰基车叶草甙酸,0.5182,0.5182
