ID1,ID2,Similarity_PC-score8Q,Similarity_PC-score8T
GSK1016790A,4-香豆酸,0.6427,0.1836
TRPV4 agonist-1 free base,4-香豆酸,0.7035,0.2558
TRPV4 agonist-1,4-香豆酸,0.7035,0.2558
GSK1016790A,β-谷甾醇,0.3627,0.5078
TRPV4 agonist-1 free base,β-谷甾醇,0.4647,0.5112
TRPV4 agonist-1,β-谷甾醇,0.4647,0.5112
GSK1016790A,东莨菪素,0.6644,0.2215
TRPV4 agonist-1 free base,东莨菪素,0.6604,0.2802
TRPV4 agonist-1,东莨菪素,0.6604,0.2802
GSK1016790A,去乙酰基车叶草甙酸,0.5276,0.3392
TRPV4 agonist-1 free base,去乙酰基车叶草甙酸,0.5079,0.4156
TRPV4 agonist-1,去乙酰基车叶草甙酸,0.5079,0.4156
GSK1016790A,山奈酚,0.5698,0.2849
TRPV4 agonist-1 free base,山奈酚,0.866,0.5511
TRPV4 agonist-1,山奈酚,0.866,0.5511
GSK1016790A,槲皮素,0.6381,0.3342
TRPV4 agonist-1 free base,槲皮素,0.8397,0.5598
TRPV4 agonist-1,槲皮素,0.8397,0.5598
GSK1016790A,熊果酸,0.3945,0.5021
TRPV4 agonist-1 free base,熊果酸,0.4939,0.4939
TRPV4 agonist-1,熊果酸,0.4939,0.4939
GSK1016790A,秦皮乙素,0.6872,0.2127
TRPV4 agonist-1 free base,秦皮乙素,0.7897,0.3111
TRPV4 agonist-1,秦皮乙素,0.7897,0.3111
GSK1016790A,胡萝卜甙,0.4652,0.4765
TRPV4 agonist-1 free base,胡萝卜甙,0.4892,0.3938
TRPV4 agonist-1,胡萝卜甙,0.4892,0.3938
GSK1016790A,豆甾醇,0.3676,0.5147
TRPV4 agonist-1 free base,豆甾醇,0.4524,0.4977
TRPV4 agonist-1,豆甾醇,0.4524,0.4977
GSK1016790A,车叶草苷,0.3547,0.5138
TRPV4 agonist-1 free base,车叶草苷,0.4337,0.4935
TRPV4 agonist-1,车叶草苷,0.4337,0.4935
GSK1016790A,车叶草酸,0.4002,0.5602
TRPV4 agonist-1 free base,车叶草酸,0.4354,0.4789
TRPV4 agonist-1,车叶草酸,0.4354,0.4789
GSK1016790A,阿魏酸,0.7122,0.2374
TRPV4 agonist-1 free base,阿魏酸,0.6386,0.2709
TRPV4 agonist-1,阿魏酸,0.6386,0.2709
GSK1016790A,鸡屎藤次甙,0.5627,0.3617
TRPV4 agonist-1 free base,鸡屎藤次甙,0.5174,0.4233
TRPV4 agonist-1,鸡屎藤次甙,0.5174,0.4233
GSK1016790A,鸡屎藤次苷甲酯,0.5606,0.3737
TRPV4 agonist-1 free base,鸡屎藤次苷甲酯,0.5393,0.4576
TRPV4 agonist-1,鸡屎藤次苷甲酯,0.5393,0.4576
GSK1016790A,齐墩果酸,0.4049,0.5154
TRPV4 agonist-1 free base,齐墩果酸,0.4917,0.4917
TRPV4 agonist-1,齐墩果酸,0.4917,0.4917
