ID1,ID2,Similarity_PC-score8Q,Similarity_PC-score8T
GSK205,4-香豆酸,0.7741,0.3203
HC-067047 hydrochloride,4-香豆酸,0.7361,0.2598
HC-067047,4-香豆酸,0.7361,0.2598
TRPV4-IN-5,4-香豆酸,0.7716,0.3087
GSK205,β-谷甾醇,0.4439,0.4291
HC-067047 hydrochloride,β-谷甾醇,0.4606,0.522
HC-067047,β-谷甾醇,0.4606,0.522
TRPV4-IN-5,β-谷甾醇,0.5122,0.5122
GSK205,东莨菪素,0.6456,0.3117
HC-067047 hydrochloride,东莨菪素,0.6078,0.2503
HC-067047,东莨菪素,0.6078,0.2503
TRPV4-IN-5,东莨菪素,0.6318,0.2949
GSK205,去乙酰基车叶草甙酸,0.3921,0.365
HC-067047 hydrochloride,去乙酰基车叶草甙酸,0.5786,0.4595
HC-067047,去乙酰基车叶草甙酸,0.5786,0.4595
TRPV4-IN-5,去乙酰基车叶草甙酸,0.4808,0.4327
GSK205,山奈酚,0.6592,0.4774
HC-067047 hydrochloride,山奈酚,0.6853,0.4233
HC-067047,山奈酚,0.6853,0.4233
TRPV4-IN-5,山奈酚,0.6623,0.4636
GSK205,槲皮素,0.6531,0.4955
HC-067047 hydrochloride,槲皮素,0.6744,0.4364
HC-067047,槲皮素,0.6744,0.4364
TRPV4-IN-5,槲皮素,0.6407,0.4698
GSK205,熊果酸,0.3863,0.3395
HC-067047 hydrochloride,熊果酸,0.4935,0.5084
HC-067047,熊果酸,0.4935,0.5084
TRPV4-IN-5,熊果酸,0.5387,0.4898
GSK205,秦皮乙素,0.6909,0.3097
HC-067047 hydrochloride,秦皮乙素,0.5713,0.2184
HC-067047,秦皮乙素,0.5713,0.2184
TRPV4-IN-5,秦皮乙素,0.6741,0.2921
GSK205,胡萝卜甙,0.4429,0.3132
HC-067047 hydrochloride,胡萝卜甙,0.5151,0.4272
HC-067047,胡萝卜甙,0.5151,0.4272
TRPV4-IN-5,胡萝卜甙,0.5068,0.3709
GSK205,豆甾醇,0.4354,0.4209
HC-067047 hydrochloride,豆甾醇,0.4665,0.5287
HC-067047,豆甾醇,0.4665,0.5287
TRPV4-IN-5,豆甾醇,0.5171,0.5171
GSK205,车叶草苷,0.3854,0.3854
HC-067047 hydrochloride,车叶草苷,0.4534,0.5316
HC-067047,车叶草苷,0.4534,0.5316
TRPV4-IN-5,车叶草苷,0.4835,0.5001
GSK205,车叶草酸,0.396,0.3828
HC-067047 hydrochloride,车叶草酸,0.4672,0.5295
HC-067047,车叶草酸,0.4672,0.5295
TRPV4-IN-5,车叶草酸,0.5246,0.5246
GSK205,阿魏酸,0.7683,0.3709
HC-067047 hydrochloride,阿魏酸,0.7,0.2882
HC-067047,阿魏酸,0.7,0.2882
TRPV4-IN-5,阿魏酸,0.626,0.2921
GSK205,鸡屎藤次甙,0.3917,0.3647
HC-067047 hydrochloride,鸡屎藤次甙,0.5624,0.4466
HC-067047,鸡屎藤次甙,0.5624,0.4466
TRPV4-IN-5,鸡屎藤次甙,0.5452,0.4907
GSK205,鸡屎藤次苷甲酯,0.405,0.391
HC-067047 hydrochloride,鸡屎藤次苷甲酯,0.5833,0.4803
HC-067047,鸡屎藤次苷甲酯,0.5833,0.4803
TRPV4-IN-5,鸡屎藤次苷甲酯,0.5289,0.4936
GSK205,齐墩果酸,0.3866,0.3398
HC-067047 hydrochloride,齐墩果酸,0.4421,0.4555
HC-067047,齐墩果酸,0.4421,0.4555
TRPV4-IN-5,齐墩果酸,0.5243,0.4767
