ID1,ID2,Similarity_PC-score8Q,Similarity_PC-score8T
2-Fluoro-4-iodobenzonitrile,4-香豆酸,0.6886,0.8263
AP-18,4-香豆酸,0.8503,0.7288
BAY-390,4-香豆酸,0.8298,0.5241
GDC-0334,4-香豆酸,0.7489,0.2192
GDC-6599,4-香豆酸,0.6166,0.2466
HC-030031,4-香豆酸,0.7259,0.335
hTRPA1-IN-1,4-香豆酸,0.5529,0.237
Resolvin D2,4-香豆酸,0.5467,0.243
TRPA1-IN-2,4-香豆酸,0.7621,0.2858
2-Fluoro-4-iodobenzonitrile,β-谷甾醇,0.1323,0.397
AP-18,β-谷甾醇,0.2192,0.4698
BAY-390,β-谷甾醇,0.3381,0.5338
GDC-0334,β-谷甾醇,0.4721,0.3454
GDC-6599,β-谷甾醇,0.4127,0.4127
HC-030031,β-谷甾醇,0.4023,0.4642
hTRPA1-IN-1,β-谷甾醇,0.5611,0.6012
Resolvin D2,β-谷甾醇,0.4608,0.512
TRPA1-IN-2,β-谷甾醇,0.5025,0.4711
2-Fluoro-4-iodobenzonitrile,东莨菪素,0.5623,0.7873
AP-18,东莨菪素,0.5842,0.5842
BAY-390,东莨菪素,0.6312,0.4651
GDC-0334,东莨菪素,0.8009,0.2735
GDC-6599,东莨菪素,0.6897,0.3218
HC-030031,东莨菪素,0.5687,0.3062
hTRPA1-IN-1,东莨菪素,0.5646,0.2823
Resolvin D2,东莨菪素,0.4382,0.2272
TRPA1-IN-2,东莨菪素,0.6264,0.2741
2-Fluoro-4-iodobenzonitrile,去乙酰基车叶草甙酸,0.1391,0.3755
AP-18,去乙酰基车叶草甙酸,0.2673,0.5156
BAY-390,去乙酰基车叶草甙酸,0.4327,0.6149
GDC-0334,去乙酰基车叶草甙酸,0.4855,0.3197
GDC-6599,去乙酰基车叶草甙酸,0.4254,0.3829
HC-030031,去乙酰基车叶草甙酸,0.4147,0.4307
hTRPA1-IN-1,去乙酰基车叶草甙酸,0.6288,0.6064
Resolvin D2,去乙酰基车叶草甙酸,0.4785,0.4785
TRPA1-IN-2,去乙酰基车叶草甙酸,0.5076,0.4282
2-Fluoro-4-iodobenzonitrile,山奈酚,0.3486,0.732
AP-18,山奈酚,0.5255,0.7882
BAY-390,山奈酚,0.5452,0.6025
GDC-0334,山奈酚,0.6986,0.3578
GDC-6599,山奈酚,0.6204,0.4343
HC-030031,山奈酚,0.6511,0.5259
hTRPA1-IN-1,山奈酚,0.44,0.33
Resolvin D2,山奈酚,0.4586,0.3567
TRPA1-IN-2,山奈酚,0.6351,0.4168
2-Fluoro-4-iodobenzonitrile,槲皮素,0.3488,0.7674
AP-18,槲皮素,0.4473,0.7029
BAY-390,槲皮素,0.5198,0.6018
GDC-0334,槲皮素,0.6631,0.3558
GDC-6599,槲皮素,0.5863,0.43
HC-030031,槲皮素,0.595,0.5035
hTRPA1-IN-1,槲皮素,0.4421,0.3473
Resolvin D2,槲皮素,0.4568,0.3722
TRPA1-IN-2,槲皮素,0.665,0.4572
2-Fluoro-4-iodobenzonitrile,熊果酸,0.1,0.3302
AP-18,熊果酸,0.1791,0.4222
BAY-390,熊果酸,0.3315,0.5758
GDC-0334,熊果酸,0.4222,0.3398
GDC-6599,熊果酸,0.3733,0.4106
HC-030031,熊果酸,0.4055,0.5147
hTRPA1-IN-1,熊果酸,0.5507,0.6491
Resolvin D2,熊果酸,0.41,0.5011
TRPA1-IN-2,熊果酸,0.4612,0.4756
2-Fluoro-4-iodobenzonitrile,秦皮乙素,0.5809,0.7552
AP-18,秦皮乙素,0.5704,0.5297
BAY-390,秦皮乙素,0.6392,0.4374
GDC-0334,秦皮乙素,0.7207,0.2285
GDC-6599,秦皮乙素,0.5162,0.2237
HC-030031,秦皮乙素,0.5815,0.2908
hTRPA1-IN-1,秦皮乙素,0.5071,0.2354
Resolvin D2,秦皮乙素,0.3952,0.1903
TRPA1-IN-2,秦皮乙素,0.6827,0.2773
2-Fluoro-4-iodobenzonitrile,胡萝卜甙,0.1367,0.5603
AP-18,胡萝卜甙,0.1525,0.4465
BAY-390,胡萝卜甙,0.2764,0.5965
GDC-0334,胡萝卜甙,0.4149,0.4149
GDC-6599,胡萝卜甙,0.3014,0.412
HC-030031,胡萝卜甙,0.288,0.4542
hTRPA1-IN-1,胡萝卜甙,0.4093,0.5993
Resolvin D2,胡萝卜甙,0.3431,0.5209
TRPA1-IN-2,胡萝卜甙,0.4012,0.514
2-Fluoro-4-iodobenzonitrile,豆甾醇,0.1319,0.3956
AP-18,豆甾醇,0.2307,0.4943
BAY-390,豆甾醇,0.3381,0.5338
GDC-0334,豆甾醇,0.4456,0.3261
GDC-6599,豆甾醇,0.4086,0.4086
HC-030031,豆甾醇,0.371,0.428
hTRPA1-IN-1,豆甾醇,0.5607,0.6007
Resolvin D2,豆甾醇,0.441,0.49
TRPA1-IN-2,豆甾醇,0.4992,0.468
2-Fluoro-4-iodobenzonitrile,车叶草苷,0.1343,0.3894
AP-18,车叶草苷,0.2507,0.5193
BAY-390,车叶草苷,0.3913,0.5973
GDC-0334,车叶草苷,0.4746,0.3357
GDC-6599,车叶草苷,0.3754,0.3629
HC-030031,车叶草苷,0.4254,0.4745
hTRPA1-IN-1,车叶草苷,0.6241,0.6464
Resolvin D2,车叶草苷,0.4894,0.5256
TRPA1-IN-2,车叶草苷,0.5145,0.4663
2-Fluoro-4-iodobenzonitrile,车叶草酸,0.1057,0.3171
AP-18,车叶草酸,0.2353,0.5043
BAY-390,车叶草酸,0.34,0.5369
GDC-0334,车叶草酸,0.4655,0.3406
GDC-6599,车叶草酸,0.4531,0.4531
HC-030031,车叶草酸,0.4383,0.5057
hTRPA1-IN-1,车叶草酸,0.6261,0.6708
Resolvin D2,车叶草酸,0.4591,0.5102
TRPA1-IN-2,车叶草酸,0.4868,0.4564
2-Fluoro-4-iodobenzonitrile,阿魏酸,0.574,0.8036
AP-18,阿魏酸,0.7921,0.7921
BAY-390,阿魏酸,0.6968,0.5134
GDC-0334,阿魏酸,0.6747,0.2304
GDC-6599,阿魏酸,0.5635,0.263
HC-030031,阿魏酸,0.5955,0.3206
hTRPA1-IN-1,阿魏酸,0.4342,0.2171
Resolvin D2,阿魏酸,0.5674,0.2942
TRPA1-IN-2,阿魏酸,0.7156,0.3131
2-Fluoro-4-iodobenzonitrile,鸡屎藤次甙,0.1391,0.3755
AP-18,鸡屎藤次甙,0.2955,0.57
BAY-390,鸡屎藤次甙,0.3772,0.5361
GDC-0334,鸡屎藤次甙,0.4848,0.3193
GDC-6599,鸡屎藤次甙,0.434,0.3906
HC-030031,鸡屎藤次甙,0.484,0.5026
hTRPA1-IN-1,鸡屎藤次甙,0.6436,0.6206
Resolvin D2,鸡屎藤次甙,0.5038,0.5038
TRPA1-IN-2,鸡屎藤次甙,0.5048,0.4259
2-Fluoro-4-iodobenzonitrile,鸡屎藤次苷甲酯,0.1645,0.4606
AP-18,鸡屎藤次苷甲酯,0.2368,0.4736
BAY-390,鸡屎藤次苷甲酯,0.4139,0.6099
GDC-0334,鸡屎藤次苷甲酯,0.505,0.3449
GDC-6599,鸡屎藤次苷甲酯,0.445,0.4154
HC-030031,鸡屎藤次苷甲酯,0.4675,0.5035
hTRPA1-IN-1,鸡屎藤次苷甲酯,0.6038,0.6038
Resolvin D2,鸡屎藤次苷甲酯,0.5153,0.5344
TRPA1-IN-2,鸡屎藤次苷甲酯,0.5068,0.4434
2-Fluoro-4-iodobenzonitrile,齐墩果酸,0.1123,0.3707
AP-18,齐墩果酸,0.2182,0.5142
BAY-390,齐墩果酸,0.3409,0.5921
GDC-0334,齐墩果酸,0.452,0.3638
GDC-6599,齐墩果酸,0.349,0.3839
HC-030031,齐墩果酸,0.3716,0.4716
hTRPA1-IN-1,齐墩果酸,0.5648,0.6656
Resolvin D2,齐墩果酸,0.4054,0.4954
TRPA1-IN-2,齐墩果酸,0.4686,0.4833
