ID1,ID2,Similarity_PC-score8Q,Similarity_PC-score8T
Acoltremon,4-香豆酸,0.7731,0.4417
Cryosim-3,4-香豆酸,0.474,0.3346
D-3263,4-香豆酸,0.755,0.3356
FEMA 4809,4-香豆酸,0.8746,0.4563
Icilin,4-香豆酸,0.7286,0.3801
TRPM8 agonist WS-3,4-香豆酸,0.6009,0.4807
Acoltremon,β-谷甾醇,0.3706,0.5294
Cryosim-3,β-谷甾醇,0.3133,0.553
D-3263,β-谷甾醇,0.4651,0.5168
FEMA 4809,β-谷甾醇,0.3096,0.4038
Icilin,β-谷甾醇,0.395,0.5152
TRPM8 agonist WS-3,β-谷甾醇,0.2609,0.5218
Acoltremon,东莨菪素,0.7068,0.4712
Cryosim-3,东莨菪素,0.4165,0.343
D-3263,东莨菪素,0.7085,0.3674
FEMA 4809,东莨菪素,0.6162,0.3751
Icilin,东莨菪素,0.6648,0.4047
TRPM8 agonist WS-3,东莨菪素,0.4949,0.4619
Acoltremon,去乙酰基车叶草甙酸,0.4595,0.5908
Cryosim-3,去乙酰基车叶草甙酸,0.3758,0.5969
D-3263,去乙酰基车叶草甙酸,0.5679,0.5679
FEMA 4809,去乙酰基车叶草甙酸,0.3829,0.4494
Icilin,去乙酰基车叶草甙酸,0.4338,0.5093
TRPM8 agonist WS-3,去乙酰基车叶草甙酸,0.3772,0.6789
Acoltremon,山奈酚,0.6497,0.6497
Cryosim-3,山奈酚,0.3824,0.4724
D-3263,山奈酚,0.5923,0.4607
FEMA 4809,山奈酚,0.4826,0.4407
Icilin,山奈酚,0.6799,0.6208
TRPM8 agonist WS-3,山奈酚,0.3027,0.4238
Acoltremon,槲皮素,0.6119,0.641
Cryosim-3,槲皮素,0.3805,0.4924
D-3263,槲皮素,0.5767,0.4699
FEMA 4809,槲皮素,0.5321,0.509
Icilin,槲皮素,0.724,0.6925
TRPM8 agonist WS-3,槲皮素,0.3252,0.4769
Acoltremon,熊果酸,0.3334,0.5239
Cryosim-3,熊果酸,0.2725,0.529
D-3263,熊果酸,0.4848,0.5925
FEMA 4809,熊果酸,0.2747,0.3942
Icilin,熊果酸,0.373,0.5351
TRPM8 agonist WS-3,熊果酸,0.2515,0.5532
Acoltremon,秦皮乙素,0.6947,0.43
Cryosim-3,秦皮乙素,0.3642,0.2785
D-3263,秦皮乙素,0.6886,0.3316
FEMA 4809,秦皮乙素,0.6301,0.3561
Icilin,秦皮乙素,0.665,0.3759
TRPM8 agonist WS-3,秦皮乙素,0.4643,0.4024
Acoltremon,胡萝卜甙,0.2556,0.4991
Cryosim-3,胡萝卜甙,0.2268,0.547
D-3263,胡萝卜甙,0.36,0.5467
FEMA 4809,胡萝卜甙,0.2341,0.4173
Icilin,胡萝卜甙,0.286,0.5098
TRPM8 agonist WS-3,胡萝卜甙,0.226,0.6178
Acoltremon,豆甾醇,0.3578,0.5111
Cryosim-3,豆甾醇,0.3085,0.5445
D-3263,豆甾醇,0.5023,0.5581
FEMA 4809,豆甾醇,0.2925,0.3815
Icilin,豆甾醇,0.3842,0.5012
TRPM8 agonist WS-3,豆甾醇,0.2785,0.557
Acoltremon,车叶草苷,0.4361,0.6022
Cryosim-3,车叶草苷,0.3164,0.5397
D-3263,车叶草苷,0.4907,0.527
FEMA 4809,车叶草苷,0.3532,0.4453
Icilin,车叶草苷,0.3991,0.5032
TRPM8 agonist WS-3,车叶草苷,0.3053,0.5903
Acoltremon,车叶草酸,0.4212,0.6016
Cryosim-3,车叶草酸,0.308,0.5435
D-3263,车叶草酸,0.5423,0.6025
FEMA 4809,车叶草酸,0.3403,0.4439
Icilin,车叶草酸,0.401,0.5231
TRPM8 agonist WS-3,车叶草酸,0.321,0.642
Acoltremon,阿魏酸,0.723,0.482
Cryosim-3,阿魏酸,0.4964,0.4088
D-3263,阿魏酸,0.6111,0.3169
FEMA 4809,阿魏酸,0.8059,0.4905
Icilin,阿魏酸,0.5445,0.3314
TRPM8 agonist WS-3,阿魏酸,0.5499,0.5132
Acoltremon,鸡屎藤次甙,0.4595,0.5908
Cryosim-3,鸡屎藤次甙,0.3797,0.6031
D-3263,鸡屎藤次甙,0.5667,0.5667
FEMA 4809,鸡屎藤次甙,0.3697,0.434
Icilin,鸡屎藤次甙,0.4301,0.5049
TRPM8 agonist WS-3,鸡屎藤次甙,0.3772,0.6789
Acoltremon,鸡屎藤次苷甲酯,0.4408,0.5878
Cryosim-3,鸡屎藤次苷甲酯,0.333,0.5485
D-3263,鸡屎藤次苷甲酯,0.5525,0.573
FEMA 4809,鸡屎藤次苷甲酯,0.3584,0.4363
Icilin,鸡屎藤次苷甲酯,0.4016,0.4889
TRPM8 agonist WS-3,鸡屎藤次苷甲酯,0.3479,0.6494
Acoltremon,齐墩果酸,0.3562,0.5597
Cryosim-3,齐墩果酸,0.2876,0.5584
D-3263,齐墩果酸,0.4925,0.602
FEMA 4809,齐墩果酸,0.2922,0.4193
Icilin,齐墩果酸,0.371,0.5324
TRPM8 agonist WS-3,齐墩果酸,0.2835,0.6238
