ID1,ID2,Similarity_PC-score8Q,Similarity_PC-score8T
AMG8788,4-香豆酸,0.758,0.3032
AMTB hydrochloride,4-香豆酸,0.6761,0.2897
BCTC,4-香豆酸,0.7094,0.3274
Elismetrep,4-香豆酸,0.7717,0.2437
Phenazopyridine hydrochloride,4-香豆酸,0.8017,0.6013
Phenazopyridine,4-香豆酸,0.8017,0.6013
RQ-00203078,4-香豆酸,0.5351,0.1784
Voacangine,4-香豆酸,0.7059,0.3137
AMG8788,β-谷甾醇,0.4797,0.4797
AMTB hydrochloride,β-谷甾醇,0.3908,0.4188
BCTC,β-谷甾醇,0.4276,0.4934
Elismetrep,β-谷甾醇,0.4467,0.3526
Phenazopyridine hydrochloride,β-谷甾醇,0.2377,0.4457
Phenazopyridine,β-谷甾醇,0.2377,0.4457
RQ-00203078,β-谷甾醇,0.4388,0.3657
Voacangine,β-谷甾醇,0.4803,0.5337
AMG8788,东莨菪素,0.6218,0.2902
AMTB hydrochloride,东莨菪素,0.5539,0.277
BCTC,东莨菪素,0.6143,0.3308
Elismetrep,东莨菪素,0.8788,0.3238
Phenazopyridine hydrochloride,东莨菪素,0.7297,0.6385
Phenazopyridine,东莨菪素,0.7297,0.6385
RQ-00203078,东莨菪素,0.6531,0.254
Voacangine,东莨菪素,0.6828,0.354
AMG8788,去乙酰基车叶草甙酸,0.4715,0.4244
AMTB hydrochloride,去乙酰基车叶草甙酸,0.4403,0.4246
BCTC,去乙酰基车叶草甙酸,0.4565,0.4741
Elismetrep,去乙酰基车叶草甙酸,0.4355,0.3094
Phenazopyridine hydrochloride,去乙酰基车叶草甙酸,0.2594,0.4378
Phenazopyridine,去乙酰基车叶草甙酸,0.2594,0.4378
RQ-00203078,去乙酰基车叶草甙酸,0.5042,0.3781
Voacangine,去乙酰基车叶草甙酸,0.5178,0.5178
AMG8788,山奈酚,0.6844,0.4791
AMTB hydrochloride,山奈酚,0.6563,0.4922
BCTC,山奈酚,0.623,0.5032
Elismetrep,山奈酚,0.7398,0.4089
Phenazopyridine hydrochloride,山奈酚,0.5828,0.7649
Phenazopyridine,山奈酚,0.5828,0.7649
RQ-00203078,山奈酚,0.7268,0.424
Voacangine,山奈酚,0.5709,0.444
AMG8788,槲皮素,0.6704,0.4916
AMTB hydrochloride,槲皮素,0.7003,0.5502
BCTC,槲皮素,0.6326,0.5353
Elismetrep,槲皮素,0.7638,0.4422
Phenazopyridine hydrochloride,槲皮素,0.557,0.7659
Phenazopyridine,槲皮素,0.557,0.7659
RQ-00203078,槲皮素,0.7162,0.4377
Voacangine,槲皮素,0.5635,0.4591
AMG8788,熊果酸,0.4614,0.5075
AMTB hydrochloride,熊果酸,0.3565,0.4202
BCTC,熊果酸,0.3918,0.4973
Elismetrep,熊果酸,0.4397,0.3819
Phenazopyridine hydrochloride,熊果酸,0.2155,0.4444
Phenazopyridine,熊果酸,0.2155,0.4444
RQ-00203078,熊果酸,0.4808,0.4407
Voacangine,熊果酸,0.4241,0.5184
AMG8788,秦皮乙素,0.6828,0.2959
AMTB hydrochloride,秦皮乙素,0.664,0.3083
BCTC,秦皮乙素,0.6582,0.3291
Elismetrep,秦皮乙素,0.6348,0.2172
Phenazopyridine hydrochloride,秦皮乙素,0.7377,0.5994
Phenazopyridine,秦皮乙素,0.7377,0.5994
RQ-00203078,秦皮乙素,0.6329,0.2285
Voacangine,秦皮乙素,0.676,0.3255
AMG8788,胡萝卜甙,0.3278,0.448
AMTB hydrochloride,胡萝卜甙,0.2711,0.397
BCTC,胡萝卜甙,0.332,0.5236
Elismetrep,胡萝卜甙,0.3659,0.3948
Phenazopyridine hydrochloride,胡萝卜甙,0.1783,0.4568
Phenazopyridine,胡萝卜甙,0.1783,0.4568
RQ-00203078,胡萝卜甙,0.3813,0.4342
Voacangine,胡萝卜甙,0.3604,0.5472
AMG8788,豆甾醇,0.459,0.459
AMTB hydrochloride,豆甾醇,0.3805,0.4077
BCTC,豆甾醇,0.4335,0.5002
Elismetrep,豆甾醇,0.4535,0.358
Phenazopyridine hydrochloride,豆甾醇,0.2342,0.4391
Phenazopyridine,豆甾醇,0.2342,0.4391
RQ-00203078,豆甾醇,0.4633,0.3861
Voacangine,豆甾醇,0.4873,0.5414
AMG8788,车叶草苷,0.4919,0.4755
AMTB hydrochloride,车叶草苷,0.4284,0.4436
BCTC,车叶草苷,0.4139,0.4617
Elismetrep,车叶草苷,0.4849,0.37
Phenazopyridine hydrochloride,车叶草苷,0.2399,0.4349
Phenazopyridine,车叶草苷,0.2399,0.4349
RQ-00203078,车叶草苷,0.4583,0.3692
Voacangine,车叶草苷,0.5037,0.541
AMG8788,车叶草酸,0.4528,0.4528
