ID1,ID2,Similarity_PC-score8Q,Similarity_PC-score8T
GSK1016790A,4-香豆酸,0.629,0.1797
TRPV4 agonist-1 free base,4-香豆酸,0.564,0.2051
TRPV4 agonist-1,4-香豆酸,0.564,0.2051
GSK1016790A,β-谷甾醇,0.4792,0.3423
TRPV4 agonist-1 free base,β-谷甾醇,0.4689,0.4262
TRPV4 agonist-1,β-谷甾醇,0.4689,0.4262
GSK1016790A,东莨菪素,0.6644,0.2215
TRPV4 agonist-1 free base,东莨菪素,0.6604,0.2802
TRPV4 agonist-1,东莨菪素,0.6604,0.2802
GSK1016790A,去乙酰基车叶草甙酸,0.5276,0.3392
TRPV4 agonist-1 free base,去乙酰基车叶草甙酸,0.4561,0.3732
TRPV4 agonist-1,去乙酰基车叶草甙酸,0.4561,0.3732
GSK1016790A,山奈酚,0.5517,0.2759
TRPV4 agonist-1 free base,山奈酚,0.7809,0.497
TRPV4 agonist-1,山奈酚,0.7809,0.497
GSK1016790A,槲皮素,0.5529,0.2896
TRPV4 agonist-1 free base,槲皮素,0.8377,0.5585
TRPV4 agonist-1,槲皮素,0.8377,0.5585
GSK1016790A,熊果酸,0.475,0.3732
TRPV4 agonist-1 free base,熊果酸,0.4818,0.4818
TRPV4 agonist-1,熊果酸,0.4818,0.4818
GSK1016790A,秦皮乙素,0.6872,0.2127
TRPV4 agonist-1 free base,秦皮乙素,0.7897,0.3111
TRPV4 agonist-1,秦皮乙素,0.7897,0.3111
GSK1016790A,胡萝卜甙,0.4512,0.4404
TRPV4 agonist-1 free base,胡萝卜甙,0.3938,0.4892
TRPV4 agonist-1,胡萝卜甙,0.3938,0.4892
GSK1016790A,豆甾醇,0.4702,0.3359
TRPV4 agonist-1 free base,豆甾醇,0.4832,0.4393
TRPV4 agonist-1,豆甾醇,0.4832,0.4393
GSK1016790A,车叶草苷,0.5172,0.3571
TRPV4 agonist-1 free base,车叶草苷,0.4999,0.4393
TRPV4 agonist-1,车叶草苷,0.4999,0.4393
GSK1016790A,车叶草酸,0.5512,0.3937
TRPV4 agonist-1 free base,车叶草酸,0.4811,0.4374
TRPV4 agonist-1,车叶草酸,0.4811,0.4374
GSK1016790A,阿魏酸,0.7105,0.2368
TRPV4 agonist-1 free base,阿魏酸,0.5952,0.2525
TRPV4 agonist-1,阿魏酸,0.5952,0.2525
GSK1016790A,鸡屎藤次甙,0.5236,0.3366
TRPV4 agonist-1 free base,鸡屎藤次甙,0.4546,0.3719
TRPV4 agonist-1,鸡屎藤次甙,0.4546,0.3719
GSK1016790A,鸡屎藤次苷甲酯,0.5302,0.3534
TRPV4 agonist-1 free base,鸡屎藤次苷甲酯,0.4912,0.4168
TRPV4 agonist-1,鸡屎藤次苷甲酯,0.4912,0.4168
GSK1016790A,齐墩果酸,0.4806,0.3776
TRPV4 agonist-1 free base,齐墩果酸,0.4729,0.4729
TRPV4 agonist-1,齐墩果酸,0.4729,0.4729
