ID1,ID2,Similarity_PC-score8Q,Similarity_PC-score8T
GSK205,4-香豆酸,0.7587,0.314
HC-067047 hydrochloride,4-香豆酸,0.7361,0.2598
HC-067047,4-香豆酸,0.7361,0.2598
TRPV4-IN-5,4-香豆酸,0.7716,0.3087
GSK205,β-谷甾醇,0.4233,0.4379
HC-067047 hydrochloride,β-谷甾醇,0.4817,0.425
HC-067047,β-谷甾醇,0.4817,0.425
TRPV4-IN-5,β-谷甾醇,0.521,0.521
GSK205,东莨菪素,0.6456,0.3117
HC-067047 hydrochloride,东莨菪素,0.6078,0.2503
HC-067047,东莨菪素,0.6078,0.2503
TRPV4-IN-5,东莨菪素,0.6318,0.2949
GSK205,去乙酰基车叶草甙酸,0.3862,0.3596
HC-067047 hydrochloride,去乙酰基车叶草甙酸,0.5462,0.4338
HC-067047,去乙酰基车叶草甙酸,0.5462,0.4338
TRPV4-IN-5,去乙酰基车叶草甙酸,0.4175,0.3757
GSK205,山奈酚,0.6592,0.4774
HC-067047 hydrochloride,山奈酚,0.6853,0.4233
HC-067047,山奈酚,0.6853,0.4233
TRPV4-IN-5,山奈酚,0.6623,0.4636
GSK205,槲皮素,0.6381,0.4841
HC-067047 hydrochloride,槲皮素,0.6617,0.4281
HC-067047,槲皮素,0.6617,0.4281
TRPV4-IN-5,槲皮素,0.6324,0.4638
GSK205,熊果酸,0.3343,0.3804
HC-067047 hydrochloride,熊果酸,0.4553,0.4419
HC-067047,熊果酸,0.4553,0.4419
TRPV4-IN-5,熊果酸,0.4876,0.5363
GSK205,秦皮乙素,0.6909,0.3097
HC-067047 hydrochloride,秦皮乙素,0.5713,0.2184
HC-067047,秦皮乙素,0.5713,0.2184
TRPV4-IN-5,秦皮乙素,0.6741,0.2921
GSK205,胡萝卜甙,0.3143,0.4443
HC-067047 hydrochloride,胡萝卜甙,0.4339,0.5232
HC-067047,胡萝卜甙,0.4339,0.5232
TRPV4-IN-5,胡萝卜甙,0.3709,0.5068
GSK205,豆甾醇,0.3808,0.394
HC-067047 hydrochloride,豆甾醇,0.5286,0.4665
HC-067047,豆甾醇,0.5286,0.4665
TRPV4-IN-5,豆甾醇,0.4886,0.4886
GSK205,车叶草苷,0.3915,0.3915
HC-067047 hydrochloride,车叶草苷,0.4868,0.4152
HC-067047,车叶草苷,0.4868,0.4152
TRPV4-IN-5,车叶草苷,0.4616,0.4462
GSK205,车叶草酸,0.3553,0.3676
HC-067047 hydrochloride,车叶草酸,0.5457,0.4815
HC-067047,车叶草酸,0.5457,0.4815
TRPV4-IN-5,车叶草酸,0.4631,0.4631
GSK205,阿魏酸,0.6742,0.3255
HC-067047 hydrochloride,阿魏酸,0.5843,0.2406
HC-067047,阿魏酸,0.5843,0.2406
TRPV4-IN-5,阿魏酸,0.626,0.2921
GSK205,鸡屎藤次甙,0.3917,0.3647
HC-067047 hydrochloride,鸡屎藤次甙,0.5575,0.4427
HC-067047,鸡屎藤次甙,0.5575,0.4427
TRPV4-IN-5,鸡屎藤次甙,0.496,0.4464
GSK205,鸡屎藤次苷甲酯,0.3757,0.3627
HC-067047 hydrochloride,鸡屎藤次苷甲酯,0.5594,0.4607
HC-067047,鸡屎藤次苷甲酯,0.5594,0.4607
TRPV4-IN-5,鸡屎藤次苷甲酯,0.5211,0.4864
GSK205,齐墩果酸,0.3181,0.362
HC-067047 hydrochloride,齐墩果酸,0.4552,0.4418
HC-067047,齐墩果酸,0.4552,0.4418
TRPV4-IN-5,齐墩果酸,0.4957,0.5453
